state,district,month,risk_score,age_verification_decision,disaster_alert,kendra_action
Andhra Pradesh,narayanpet,11,0.7585541,AGE_NOT_VERIFIED,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,narayanpet,12,0.012995971,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,3,0.38193354,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,6,0.0013851612,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,7,0.0008323133,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,9,0.2638393,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,10,0.006672897,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,11,0.0015935799,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nellore,12,0.9181715,DEFER_VERIFICATION,NORMAL,INCREASE_ADULT_CAPACITY
Andhra Pradesh,nirmal,9,0.003499304,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nirmal,10,0.0030008373,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nirmal,11,0.78265536,AGE_NOT_VERIFIED,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,nirmal,12,0.00834303,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nizamabad,9,0.0018492137,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nizamabad,10,0.00062136585,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nizamabad,11,0.14086628,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,nizamabad,12,0.0058114678,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,parvathipuram manyam,9,0.003132207,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,parvathipuram manyam,10,0.738851,AGE_VERIFIED_18_PLUS,NORMAL,DEPLOY_MOBILE_UNIT
Andhra Pradesh,parvathipuram manyam,11,0.012266981,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,parvathipuram manyam,12,0.0012620781,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,peddapalli,9,0.006375162,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,peddapalli,10,0.0031797953,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,peddapalli,11,0.0063404264,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,peddapalli,12,0.00034967318,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,prakasam,7,0.27867478,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,prakasam,9,0.0029878004,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,prakasam,10,0.0007778585,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,prakasam,11,0.0022487126,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,prakasam,12,0.0031870839,AGE_VERIFIED_18_PLUS,NORMAL,NORMAL_OPERATIONS
Andhra Pradesh,rajanna sircilla,9,0.0028030789,AGE_NOT_VERIFIED,NORMAL,NORMAL_OPERATIONS
