state,district,month,risk_score,update_spike_ratio,disaster_alert
Andhra Pradesh,sri sathya sai,12,0.09172462,1.3579294117647058,NORMAL
Andhra Pradesh,srikakulam,9,0.09515454,0.7180743462687675,NORMAL
Andhra Pradesh,srikakulam,10,0.9307754,0.9438598444778502,NORMAL
Andhra Pradesh,srikakulam,11,0.00052027026,1.1521630198763988,NORMAL
Andhra Pradesh,srikakulam,12,0.0018454917,1.1857543195441975,NORMAL
Andhra Pradesh,suryapet,9,0.031177588,0.0,NORMAL
Andhra Pradesh,suryapet,10,0.0035475988,0.0,NORMAL
Andhra Pradesh,suryapet,11,0.35456726,0.0,NORMAL
Andhra Pradesh,suryapet,12,0.0007645954,0.0,NORMAL
Andhra Pradesh,tirupati,9,0.0026738388,0.999607535321821,NORMAL
Andhra Pradesh,tiruvallur,9,0.013349375,0.5,NORMAL
Andhra Pradesh,vikarabad,9,0.98393863,0.995260663507109,NORMAL
Andhra Pradesh,vikarabad,10,0.001714581,0.909952606635071,NORMAL
Andhra Pradesh,vikarabad,11,0.010041939,1.2890995260663507,NORMAL
Andhra Pradesh,vikarabad,12,0.009031821,0.7677725118483413,NORMAL
Andhra Pradesh,visakhapatnam,6,0.002274984,1.2161935234983094,NORMAL
Andhra Pradesh,visakhapatnam,9,0.0037616664,0.7631561032064811,NORMAL
Andhra Pradesh,visakhapatnam,10,0.0100122,0.7209476478997889,NORMAL
Andhra Pradesh,visakhapatnam,11,0.009707794,1.0991898699707263,NORMAL
Andhra Pradesh,visakhapatnam,12,0.6801068,1.20039939183516,NORMAL
Andhra Pradesh,vizianagaram,9,0.0019423242,0.7028354933452707,NORMAL
Andhra Pradesh,vizianagaram,10,0.00041029335,0.8270862221445807,NORMAL
Andhra Pradesh,vizianagaram,11,0.013029862,1.1760800969548746,NORMAL
Andhra Pradesh,vizianagaram,12,0.0042082765,1.293823494087718,NORMAL
Andhra Pradesh,wanaparthy,9,0.047220483,0.9585439838220424,NORMAL
Andhra Pradesh,wanaparthy,10,0.006174874,0.7698011459386586,NORMAL
Andhra Pradesh,wanaparthy,11,0.00070304354,1.2753623188405796,NORMAL
Andhra Pradesh,wanaparthy,12,0.0055074007,0.9908998988877654,NORMAL
Andhra Pradesh,warangal,9,0.00504433,0.9959621914288336,NORMAL
Andhra Pradesh,warangal,10,0.012818656,0.8467468110489126,NORMAL
Andhra Pradesh,warangal,11,0.00081528095,1.0776360466183352,NORMAL
Andhra Pradesh,warangal,12,0.038279813,1.0792878773974488,NORMAL
Andhra Pradesh,warangal rural,9,0.0061699073,0.0,NORMAL
Andhra Pradesh,warangal rural,10,0.0144139435,0.0,NORMAL
Andhra Pradesh,warangal rural,11,0.9640713,0.0,NORMAL
Andhra Pradesh,warangal rural,12,0.0011597372,0.0,NORMAL
Andhra Pradesh,warangal urban,9,0.0023606678,0.8333333333333334,NORMAL
Andhra Pradesh,west godavari,9,0.0015722046,0.7701761328425407,NORMAL
Andhra Pradesh,west godavari,10,0.0036526984,0.8407785982543511,NORMAL
Andhra Pradesh,west godavari,11,0.9761736,1.1539202437039415,NORMAL
Andhra Pradesh,west godavari,12,0.04342439,1.2350055624827339,NORMAL
